label,output,weight_sum_0,weight_sum_1,weight_sum_2,weight_sum_3,weight_sum_4,weight_sum_5,cluster_count_0,cluster_count_1,cluster_count_2,cluster_count_3,cluster_count_4,cluster_count_5,intersection_count_grad_cam_pp_0,intersection_count_grad_cam_pp_1,intersection_count_grad_cam_pp_2,intersection_count_grad_cam_pp_3,intersection_count_grad_cam_pp_4,intersection_count_grad_cam_pp_5,union_count_grad_cam_pp_0,union_count_grad_cam_pp_1,union_count_grad_cam_pp_2,union_count_grad_cam_pp_3,union_count_grad_cam_pp_4,union_count_grad_cam_pp_5,intersection_count_grad_cam_0,intersection_count_grad_cam_1,intersection_count_grad_cam_2,intersection_count_grad_cam_3,intersection_count_grad_cam_4,intersection_count_grad_cam_5,union_count_grad_cam_0,union_count_grad_cam_1,union_count_grad_cam_2,union_count_grad_cam_3,union_count_grad_cam_4,union_count_grad_cam_5
0.0,-9.641509056091309,127.3416976928711,0.08162155747413635,38.41779327392578,0.02179912105202675,0.006866081617772579,14.185638427734375,668,2,304,0,0,50,2,682,2,16,0,318,0,14,0,14,10,64,1,671,2,5,0,307,0,3,0,3,0,53
0.0,-3.954958915710449,6.3648271560668945,0.005172301083803177,8.231264114379883,0.05436844751238823,0.002716145711019635,12.085564613342285,300,25,271,6,2,420,11,348,25,73,3,319,2,54,1,50,6,468,8,340,25,65,3,311,2,46,1,42,1,460
0.0,-6.864007472991943,41.32117462158203,0.7410053014755249,14.175577163696289,0.03636173903942108,0.5462204813957214,18.93110466003418,387,57,224,2,26,328,10,556,55,226,18,393,2,171,26,195,58,497,3,490,52,160,8,327,2,105,26,129,12,431
0.0,-5.971559524536133,32.87736892700195,4.218099275021814e-05,49.030487060546875,0.018657136708498,0.0006820214912295341,7.7777814865112305,269,1,698,0,0,56,0,272,1,4,2,701,0,3,0,3,0,59,0,271,1,3,1,700,0,2,0,2,0,58
0.0,-3.9650039672851562,7.371452808380127,1.3869319559489668e-07,4.244887351989746,0.037060774862766266,0.0001955969346454367,12.688980102539062,343,0,318,0,0,363,0,343,0,0,0,318,0,0,0,0,0,363,0,343,0,0,0,318,0,0,0,0,0,363
0.0,-7.411949634552002,3.707520008087158,0.008460470475256443,0.9479905366897583,0.008138138800859451,0.018237290903925896,25.961523056030273,455,3,78,0,0,488,0,468,1,16,1,91,0,13,0,13,11,501,0,457,1,5,1,80,0,2,0,2,0,490
0.0,-5.661855220794678,2.245534658432007,0.003611935768276453,3.2010843753814697,0.02552318200469017,0.00586653221398592,24.495393753051758,168,22,333,0,2,499,0,176,2,30,0,341,0,8,1,10,5,507,0,175,2,29,0,340,0,7,1,9,4,506
0.0,-5.218031406402588,6.4606804847717285,2.982619116664864e-05,8.32071590423584,0.01729867234826088,0.0001739255676511675,18.914249420166016,412,1,223,0,0,388,0,415,1,4,2,226,0,3,0,3,0,391,0,415,1,4,2,226,0,3,0,3,0,391
0.0,-4.844325542449951,11.611690521240234,1.379035472869873,13.60647201538086,0.1235230341553688,1.2405604124069214,12.921977043151855,411,66,250,10,46,241,16,559,41,214,8,398,6,158,43,194,34,389,10,516,39,171,3,355,6,115,41,151,6,346
0.0,-7.918380260467529,106.59228515625,0.34536638855934143,18.30877113342285,0.4381069242954254,0.10862099379301071,15.893898010253906,661,8,83,6,4,262,0,703,8,50,0,125,6,48,4,46,24,304,0,680,8,27,0,102,6,25,3,23,2,281
