label,output,weight_sum_0,weight_sum_1,weight_sum_2,weight_sum_3,weight_sum_4,weight_sum_5,cluster_count_0,cluster_count_1,cluster_count_2,cluster_count_3,cluster_count_4,cluster_count_5,cluster_soft_count_0,cluster_soft_count_1,cluster_soft_count_2,cluster_soft_count_3,cluster_soft_count_4,cluster_soft_count_5,grad_cam_pp_count,intersection_count_grad_cam_pp_0,union_count_grad_cam_pp_0,intersection_soft_count_grad_cam_pp_0,union_soft_count_grad_cam_pp_0,correlation_grad_cam_pp_0,intersection_count_grad_cam_pp_1,union_count_grad_cam_pp_1,intersection_soft_count_grad_cam_pp_1,union_soft_count_grad_cam_pp_1,correlation_grad_cam_pp_1,intersection_count_grad_cam_pp_2,union_count_grad_cam_pp_2,intersection_soft_count_grad_cam_pp_2,union_soft_count_grad_cam_pp_2,correlation_grad_cam_pp_2,intersection_count_grad_cam_pp_3,union_count_grad_cam_pp_3,intersection_soft_count_grad_cam_pp_3,union_soft_count_grad_cam_pp_3,correlation_grad_cam_pp_3,intersection_count_grad_cam_pp_4,union_count_grad_cam_pp_4,intersection_soft_count_grad_cam_pp_4,union_soft_count_grad_cam_pp_4,correlation_grad_cam_pp_4,intersection_count_grad_cam_pp_5,union_count_grad_cam_pp_5,intersection_soft_count_grad_cam_pp_5,union_soft_count_grad_cam_pp_5,correlation_grad_cam_pp_5,grad_cam_count,intersection_count_grad_cam_0,union_count_grad_cam_0,intersection_soft_count_grad_cam_0,union_soft_count_grad_cam_0,correlation_grad_cam_0,intersection_count_grad_cam_1,union_count_grad_cam_1,intersection_soft_count_grad_cam_1,union_soft_count_grad_cam_1,correlation_grad_cam_1,intersection_count_grad_cam_2,union_count_grad_cam_2,intersection_soft_count_grad_cam_2,union_soft_count_grad_cam_2,correlation_grad_cam_2,intersection_count_grad_cam_3,union_count_grad_cam_3,intersection_soft_count_grad_cam_3,union_soft_count_grad_cam_3,correlation_grad_cam_3,intersection_count_grad_cam_4,union_count_grad_cam_4,intersection_soft_count_grad_cam_4,union_soft_count_grad_cam_4,correlation_grad_cam_4,intersection_count_grad_cam_5,union_count_grad_cam_5,intersection_soft_count_grad_cam_5,union_soft_count_grad_cam_5,correlation_grad_cam_5
0.0,-11.021580696105957,127.3416976928711,0.08162155747413635,38.41779327392578,0.02179912105202675,0.006866081617772579,14.185638427734375,668,2,304,0,0,50,936,31,703,313,83,336,14,2,682,6,950,-0.06853599473573332,2,16,10,45,0.8587769396822875,0,318,1,717,-0.06425060523515687,0,14,4,327,0.07433040664648512,0,14,5,97,0.1518899608548728,10,64,14,350,0.08322078692969334,3,1,671,3,939,-0.04971314132966451,2,5,3,34,0.5996903334098519,0,307,1,706,-0.04611653577577378,0,3,0,316,-0.007577645271400058,0,3,0,86,-0.005192536747861076,0,53,3,339,-0.01069623791643069
0.0,-3.481072187423706,6.3648271560668945,0.005172301083803177,8.231264114379883,0.05436844751238823,0.002716145711019635,12.085564613342285,300,25,271,6,2,420,555,47,673,310,78,643,17,1,317,5,572,-0.027629674493419992,3,42,6,64,0.770372853636954,1,288,8,690,-0.03712892588571738,4,23,11,327,0.46928040977050317,2,19,2,95,0.2697815287673016,6,437,16,660,-0.02488659689808232,9,0,309,0,564,-0.025432010217468742,3,34,6,56,0.7750955998208222,0,280,2,682,-0.0344617847795076,3,15,4,319,0.4497939754678468,2,11,2,87,0.26863032419959265,1,429,9,652,-0.03209171773335969
0.0,-6.669557094573975,41.32117462158203,0.7410053014755249,14.175577163696289,0.03636173903942108,0.5462204813957214,18.93110466003418,387,57,224,2,26,328,563,126,489,183,187,549,146,11,533,33,709,-0.07850341382320988,50,203,98,272,0.91586192586438,17,370,49,635,-0.07665287192448597,2,148,20,329,0.5431190409883634,26,172,71,333,0.45320999768464787,40,474,120,695,-0.04916917958011334,98,5,485,13,661,-0.07364524501781598,48,155,75,224,0.9137075937582434,8,322,31,587,-0.07203421890986972,2,100,11,281,0.5128506160395123,26,124,50,285,0.46762184655599276,9,426,79,647,-0.05593639543094321
0.0,-6.270333766937256,32.87736892700195,4.218099275021814e-05,49.030487060546875,0.018657136708498,0.0006820214912295341,7.7777814865112305,269,1,698,0,0,56,842,24,933,426,109,598,0,0,269,0,842,,0,1,0,24,,0,698,0,933,,0,0,0,426,,0,0,0,109,,0,56,0,598,,0,0,269,0,842,,0,1,0,24,,0,698,0,933,,0,0,0,426,,0,0,0,109,,0,56,0,598,
0.0,-4.425365924835205,7.371452808380127,1.3869319559489668e-07,4.244887351989746,0.037060774862766266,0.0001955969346454367,12.688980102539062,343,0,318,0,0,363,636,1,734,517,110,630,0,0,343,0,636,,0,0,0,1,,0,318,0,734,,0,0,0,517,,0,0,0,110,,0,363,0,630,,0,0,343,0,636,,0,0,0,1,,0,318,0,734,,0,0,0,517,,0,0,0,110,,0,363,0,630,
0.0,-7.222219944000244,3.707520008087158,0.008460470475256443,0.9479905366897583,0.008138138800859451,0.018237290903925896,25.961523056030273,455,3,78,0,0,488,308,9,334,132,148,617,19,0,474,2,327,-0.02223000115383343,2,22,6,28,0.36808818560107764,1,97,5,353,-0.010297401460240798,0,19,4,151,0.35772612142102617,0,19,11,167,0.5935020412412647,16,507,19,636,0.1165870940174471,4,0,459,0,312,-0.01277293535388872,2,7,4,13,0.678203985834946,1,82,1,338,-0.0033315232348965634,0,4,0,136,-0.006515207358561126,0,4,3,152,0.12804355830211447,1,492,4,621,-0.020194751761024924
0.0,-3.9769625663757324,2.245534658432007,0.003611935768276453,3.2010843753814697,0.02552318200469017,0.00586653221398592,24.495393753051758,168,22,333,0,2,499,477,35,799,479,180,652,37,0,205,3,514,-0.050551427742565734,22,59,31,72,0.6057432168790979,4,370,37,836,-0.08970518072774068,0,37,4,516,-0.04574915056663963,2,39,5,217,0.3965455372749748,9,536,33,689,-0.03915424943664474,35,0,203,3,512,-0.04956138948004756,22,57,31,70,0.5813411337966031,4,368,35,834,-0.09131156896590945,0,35,4,514,-0.044815171742028155,2,37,5,215,0.3587134789924609,7,534,31,687,-0.0598350342324656
0.0,-6.55615758895874,6.4606804847717285,2.982619116664864e-05,8.32071590423584,0.01729867234826088,0.0001739255676511675,18.914249420166016,412,1,223,0,0,388,490,5,635,327,91,530,3,0,415,2,493,-0.023338916117512105,1,4,3,8,0.9862934342617273,2,226,3,638,-0.020870272110065893,0,3,0,330,-0.02723865976240936,0,3,0,94,-0.012750031029011328,0,391,1,533,-0.022161529666012397,3,0,415,2,493,-0.023338916145232154,1,4,3,8,0.9862934341531265,2,226,3,638,-0.020870272130671046,0,3,0,330,-0.027238659796329032,0,3,0,94,-0.012750031044888753,0,391,1,533,-0.02216152969362768
0.0,-4.049503803253174,11.611690521240234,1.379035472869873,13.60647201538086,0.1235230341553688,1.2405604124069214,12.921977043151855,411,66,250,10,46,241,572,155,476,179,200,446,193,24,604,77,765,-0.08501959879984232,66,259,134,348,0.879890255669603,25,443,77,669,-0.09860060482010827,5,203,35,372,0.2358851970717689,42,239,95,393,0.4454958971362726,31,434,132,639,-0.03612102857501227,131,13,542,46,703,-0.07966378732176128,65,197,107,286,0.883743965295006,4,381,46,607,-0.09249074232983463,5,141,24,310,0.29571593050505524,41,177,64,331,0.36886809741723114,3,372,103,577,-0.058437795081854996
0.0,-8.81986141204834,106.59228515625,0.34536638855934143,18.30877113342285,0.4381069242954254,0.10862099379301071,15.893898010253906,661,8,83,6,4,262,760,34,471,287,134,499,47,0,708,6,807,-0.0702151092700361,5,55,30,81,0.9634160760160978,0,130,5,518,-0.048419078285186504,6,53,15,334,0.9071474308903618,4,51,23,181,0.19125006585007667,32,309,46,546,0.008722225935509137,16,0,677,3,776,-0.057985955220818626,5,24,11,50,0.9501327592311097,0,99,1,487,-0.039996882783742575,6,22,10,303,0.9122967055344325,4,20,6,150,0.12252717303223509,1,278,15,515,-0.024302308494627726
0.0,-5.339395999908447,5.2515668869018555,0.0003677569911815226,4.604640007019043,0.0348755344748497,0.002493459265679121,27.57126808166504,172,0,270,0,0,582,620,2,786,469,152,783,5,0,177,0,625,-0.015029176904895464,0,5,2,7,0.29493177139689924,2,275,5,791,-0.012087628762239665,0,5,0,474,-0.01522187340293242,0,5,2,157,0.07436649377411608,3,587,3,788,0.19219228421756737,0,0,172,0,620,,0,0,0,2,,0,270,0,786,,0,0,0,469,,0,0,0,152,,0,582,0,783,
0.0,-6.926814556121826,64.83958435058594,0.680025041103363,9.39894962310791,0.6177915930747986,1.9542526006698608,25.88768196105957,560,15,91,30,25,303,646,104,335,232,147,565,140,4,700,32,786,-0.0986353686085015,13,155,78,244,0.9010987646527768,3,231,22,475,-0.0678996142712283,30,170,83,372,0.23089392055056335,25,165,63,287,0.9211017547055785,65,443,122,705,-0.026849765177687925,75,2,635,13,721,-0.08595524002390541,12,90,45,179,0.9132214474810949,0,166,13,410,-0.05932768652396008,30,105,46,307,0.1947247947011883,20,100,35,222,0.8912810736897774,11,378,59,640,-0.04402364420170193
0.0,-8.471461296081543,5.343548774719238,0.27289456129074097,1.473159909248352,0.23465664684772491,0.48899731040000916,76.4565200805664,260,32,103,14,24,591,403,111,312,171,136,706,168,16,428,50,571,-0.032617948854227634,32,200,105,279,0.874379810734141,30,271,77,480,-0.03386487551779083,14,182,67,339,0.555080009784433,22,192,41,304,0.42336502635348955,54,759,117,874,-0.07551511756114057,110,11,370,35,513,-0.029249407806046235,32,142,77,221,0.8578885440593805,24,213,65,422,-0.03215397953900925,10,124,37,281,0.5119058334115509,22,134,26,246,0.39182322633534167,11,701,69,816,-0.08197586854179344
0.0,-5.1764726638793945,1.7541075944900513,0.0,1.9468190670013428,0.02349787950515747,0.001299059484153986,21.89002227783203,341,0,160,0,0,523,395,0,564,295,206,657,0,0,341,0,395,,0,0,0,0,,0,160,0,564,,0,0,0,295,,0,0,0,206,,0,523,0,657,,0,0,341,0,395,,0,0,0,0,,0,160,0,564,,0,0,0,295,,0,0,0,206,,0,523,0,657,
0.0,-6.919002056121826,5.8776164054870605,0.39971792697906494,5.602567672729492,1.2690379619598389,0.8690496683120728,28.44245719909668,469,34,109,35,20,357,368,116,290,188,176,551,95,3,564,29,463,-0.037858797341397715,25,129,61,211,0.1382233165562638,6,204,24,385,-0.038585637796977455,25,130,56,283,0.914664865997638,11,115,45,271,0.46853203057605497,25,452,80,646,-0.04979144099703355,59,1,528,16,427,-0.034758085332164526,21,93,37,175,0.09874883650043627,2,168,13,349,-0.035683850892524446,22,94,34,247,0.9219474263683493,10,79,30,235,0.46012031597453223,3,416,44,610,-0.0507851935210202
0.0,-7.060003280639648,5.971182346343994,0.00028308486798778176,5.720109939575195,0.045591793954372406,0.000566468108445406,33.8536376953125,255,0,231,0,0,538,609,1,715,476,119,731,1,1,256,1,610,-0.012578208406311946,0,1,1,2,0.9999999999999906,0,232,0,716,-0.02318948653916583,0,1,0,477,-0.021507867229934412,0,1,0,120,-0.006744620150085149,0,539,1,732,-0.015775902085101327,0,0,255,0,609,,0,0,0,1,,0,231,0,715,,0,0,0,476,,0,0,0,119,,0,538,0,731,
0.0,-5.533761024475098,17.171207427978516,0.05510455742478371,3.0392446517944336,0.11592479050159454,0.3106302320957184,9.738970756530762,543,24,140,7,14,296,327,60,401,217,142,503,46,1,589,8,373,-0.03184490659019489,14,70,21,106,0.5465125431910699,1,186,13,447,-0.029474121421530212,5,53,15,263,0.5227620601465806,14,60,28,188,0.7425735549080611,11,342,39,549,-0.021094529151853485,36,0,579,7,363,-0.031008977233547494,14,60,20,96,0.5559666319733124,1,176,12,437,-0.02882055347242964,5,43,10,253,0.5151737712969826,14,50,21,178,0.7331006979210076,2,332,29,539,-0.029815184650244967
0.0,-6.040372371673584,36.872623443603516,0.002782493829727173,32.02189636230469,0.03357049450278282,0.0005280240438878536,9.33377456665039,319,0,501,0,0,204,756,14,839,389,90,649,12,5,331,5,768,-0.04000226537144413,0,12,5,26,0.8888660078901152,0,513,9,851,-0.05700095059619324,0,12,11,401,0.29614934167883994,0,12,0,102,-0.012595500283925917,7,216,10,661,0.019062781331653803,4,2,323,2,760,-0.02565331521455714,0,4,2,18,0.6418145235089994,0,505,2,843,-0.03735918108586696,0,4,4,393,0.14702071128029653,0,4,0,94,-0.00817200898856619,2,208,2,653,-0.0043021260126008595
0.0,-5.887668132781982,64.94683074951172,0.3111923933029175,22.23654556274414,0.2424355000257492,0.30175408720970154,10.557280540466309,550,14,202,9,5,244,597,37,479,185,112,532,59,0,609,16,656,-0.07348314136850645,14,73,34,96,0.819044278060155,1,261,9,538,-0.0649640763652419,9,68,40,244,0.6802431122029294,5,64,23,171,0.7935496341803672,30,303,52,591,0.03332157487037583,29,0,579,4,626,-0.05778226842291409,12,43,20,66,0.8493601582367631,0,231,0,508,-0.05110133060235824,8,38,18,214,0.6253662953965141,5,34,15,141,0.7114461206111133,4,273,22,561,-0.015702458015565038
0.0,-5.209885597229004,9.548033714294434,0.25462111830711365,19.306842803955078,0.00632597878575325,0.24319110810756683,10.969893455505371,251,81,283,0,43,366,443,167,683,154,241,726,170,8,421,28,613,-0.08457268115569301,78,251,150,337,0.855670668245223,29,453,162,853,-0.12122045811023133,0,170,5,324,-0.03162102925185842,43,213,100,411,0.8298489401721847,12,536,147,896,-0.11486466960458037,142,3,393,14,585,-0.09321542384351955,78,223,133,309,0.8280436407770858,11,425,137,825,-0.13300813243466483,0,142,1,296,-0.03947126136014492,43,185,91,383,0.7943671617797785,7,508,134,868,-0.12569234472865629
0.0,-8.427078247070312,85.52336883544922,0.004844830837100744,64.7662124633789,0.1055084615945816,0.002853354439139366,5.351114749908447,453,2,433,5,1,130,825,39,837,183,79,383,8,0,461,3,833,-0.0478348663420457,0,10,3,47,0.6749557882654094,0,441,6,845,-0.05612848329965469,5,13,7,191,0.9755392785710858,0,9,4,87,0.942089318478613,3,138,8,391,-0.020777752636526994,5,0,458,2,830,-0.04320994311465302,0,7,2,44,0.6398165001620456,0,438,3,842,-0.05053705232104429,5,10,5,188,0.9677923680654514,0,6,4,84,0.9371106901765152,0,135,5,388,-0.019266303518800248
0.0,-5.232848644256592,9.596383094787598,1.874904751777649,12.361268997192383,0.3327067792415619,0.9230362772941589,38.47861099243164,294,73,116,11,21,509,307,190,336,160,243,666,229,4,523,56,536,-0.07061542914298652,72,302,179,419,0.7764624481805886,9,345,53,565,-0.07155157509029574,11,240,74,389,0.25610976628781373,20,250,135,472,0.7232911555612869,113,738,201,895,-0.1025606873444749,120,1,414,16,427,-0.06100584351292472,71,193,110,310,0.7825257072648174,4,236,28,456,-0.061650620274381465,11,131,43,280,0.2321590577684588,19,141,80,363,0.699552924461057,14,629,100,786,-0.10434940852883123
0.0,-6.528337001800537,90.1541976928711,0.2746641933917999,89.76453399658203,0.1304425299167633,0.026233244687318802,11.08924388885498,402,12,589,4,1,16,878,49,902,229,96,523,28,8,430,11,906,-0.07483631642685158,12,40,20,77,0.8477457779721931,3,617,21,930,-0.08770181981196681,4,32,11,257,0.9678529987921519,1,29,13,124,0.4762991398690593,0,44,18,551,-0.038182557773515834,19,1,421,3,897,-0.0741077235591007,12,31,17,68,0.8495683952888302,1,608,12,921,-0.08620597113068564,4,23,7,248,0.9676226742095373,1,20,10,115,0.4652207691522655,0,35,17,542,-0.03727083255644533
0.0,-5.93220853805542,54.31837463378906,1.1108267307281494,56.58329772949219,0.7145669460296631,0.2593318521976471,17.805042266845703,260,71,354,23,12,304,625,156,609,224,166,614,179,4,439,31,804,-0.1300204002062501,70,250,138,335,0.9192768711977892,5,533,36,788,-0.1520014943110181,20,202,84,403,0.7294376852437284,11,191,72,345,0.2054265577243775,69,483,161,793,-0.04681799608756367,118,1,378,13,743,-0.116439083028171,67,189,102,274,0.9240803917623522,0,472,22,727,-0.1360973808559773,20,141,57,342,0.7029809451237927,11,130,48,284,0.16564986730976503,19,422,106,732,-0.056572996159554176
0.0,-8.386271476745605,80.96391296386719,0.0005354369641281664,103.32206726074219,0.012368929572403431,0.0009679128997959197,7.244809150695801,360,0,558,0,0,106,861,20,875,137,60,480,10,1,370,4,871,-0.0770489595846838,0,10,6,30,0.5722251629208727,3,568,9,885,-0.08941683293572206,0,10,6,147,0.5961499682918151,0,10,2,70,0.2300015785599447,6,116,8,490,-0.026540485959047896,2,0,362,0,863,-0.03823214074588008,0,2,2,22,0.8825384073865034,0,560,2,877,-0.04538102744226398,0,2,0,139,-0.003094751174475854,0,2,0,62,-0.005739723451052977,2,108,2,482,-0.015955575170022794
0.0,-6.460096836090088,46.29899978637695,0.6461750864982605,13.438591957092285,0.13206350803375244,0.2082664519548416,24.780696868896484,484,28,98,9,4,401,419,75,408,150,130,594,77,5,561,16,496,-0.06601308345392048,27,105,65,152,0.9064644983357121,2,175,18,485,-0.04726790959611245,8,86,23,227,0.08058472608461648,4,81,43,207,0.7734913566244167,31,478,67,671,-0.034363574533651076,42,0,526,8,461,-0.05852934401751163,27,70,42,117,0.8717320992212635,1,140,6,450,-0.042006633447656094,5,51,12,192,0.06752801587531743,4,46,25,172,0.752228304405036,5,443,35,636,-0.05316008346138462
0.0,-7.450382232666016,27.802427291870117,1.2695603370666504,36.219818115234375,1.0857250690460205,2.0432891845703125,64.4054183959961,213,41,245,12,32,481,563,163,465,107,204,632,188,28,401,81,751,-0.1364230815755922,40,229,135,351,0.6238831703901048,26,433,68,653,-0.13768781917631823,11,200,60,295,0.6234995872926993,31,220,107,392,0.6148862012271006,52,669,137,820,-0.10727711833006887,91,9,304,31,654,-0.11068772224397629,36,132,67,254,0.5527786935859749,4,336,25,556,-0.11263984880957136,10,103,28,198,0.5935048575974624,26,123,56,295,0.6093099190590421,6,572,69,723,-0.10428746730353339
